屌丝	Loser
理想是指路明灯没有理想就没有坚定的方向没有方向就没有生活	Ideal is the beacon. Without ideal, there is no secure direction; without direction, there is no life
冬天来了春天还会远吗？	If winter comes, can spring be far behind?
如果你怀疑自己那么你的立足点确实不稳固了	If you doubt yourself, then indeed you stand on shaky ground
如果你想走到高处就要使用自己的两条腿！不要让别人把你抬到高处不要坐在别人的背上和头上	If you would go up high, then use your own legs ! Do not let yourselves carried aloft; do not seat yourselves on other people's backs and heads
就是在我们母亲的膝上我们获得了我们的最高尚、最真诚和最远大的理想但是里面很少有任何金钱	It is at our mother's knee that we acquire our noblest and truest and highest, but there is seldom any money in them
生活没有目标就像航海没有指南针	Living without an aim is like sailing without a compass
有些理想曾为我们引过道路并不断给我新的勇气以欣然面对人生那些理想就是——真、善、美	The ideals which have lighted my way, and time after time have given me new courage to face life cheerfully were kindness, beauty and truth
人生重要的事情就是确定一个伟大的目标并决心实现它	The important thing in life is to have a great aim, and the determination to attain it
具有新想法的人在其想法实现之前是个怪人	The man with a new idea is a crank until the idea succeeds
实现明天理想的唯一障碍是今天的疑虑	The only limit to our realization of tomorrow will be our doubts of today
如果一个目的是正当而必须做的则达到这个目的的必要手段也是正当而必须采取的	When an end is lawful and obligatory, the indispensable means to is are also lawful and obligatory
你必须相信自己这是成功的关键	You have to believe in yourself. That's the secret of success
不经历风雨怎么见彩虹	No cross, no crown
收获与风险并存	He who risks nothing gains nothing
历史往往重演	History repeats itself
做人诚信为本	Honesty is the best policy
抱最好的愿望做最坏的打算	Hope for the best, but prepare for the worst
勤奋是成功之母	Industry is the parent of success
要想求知就得吃苦	If you want knowledge, you must toil for it
博学使人谦逊无知使人骄傲	Knowledge makes humble, ignorance makes proud
活着为了学习	Learn and live
岁月既往一去不回	Lost time is never found again
众人拾柴火焰高	Many hands make light work
钱不是万能的	Money isn't everything
不可以貌取人	Never judge from appearances
永不言败	Never say die
亡羊补牢为时未晚	Never too old to learn, never too late to turn
没有付出就没有收获	No pains, no gains
没有苦就没有乐	No pleasure without pain
没有不带刺的玫瑰	No rose without a thorn
先苦后甜	No sweet without sweat
世上无难事只要肯登攀	Nothing is difficult to the man who will try
没有追求就没有收获	Nothing seek, nothing find
观察是最好的老师	Observation is the best teacher
行动是通往知识的唯一道路	Activity is the only road to knowledge
过而能改善莫大焉	It's never too late to mend
勇敢的尝试是成功的一半	A bold attempt is half success
读史使人明智读诗使人灵秀数学使人周密科学使人深刻伦理学使人庄重逻辑修辞之学使人善辩凡有所学皆成性格	Histories make men wise; poets witty; the mathematics subtile; natural philosophy deep; moral grave; logic and rhetoric able to contend. Studies pass into and influence manners
过去的痛苦就是快乐	Pain past is pleasure
有生命就有希望/	While there is life, there is hope
脑中有知识胜过手中有金钱	Wisdom in the mind is better than money in the hand
风暴使树木深深扎根	Storms make trees take deeper roots
心之所愿无所不成	Nothing is impossible for a willing heart
最简单的回答就是干	The shortest answer is doing
凡事必先难后易	All things are difficult before they are easy
伟大的理想造就伟大的人	Great hopes make great man
天助自助者	God helps those who help themselves
四个简短的词汇概括了成功的秘诀：多一点点！	Four short words sum up what has lifted most successful individuals above the crowd: a little bit more
实践长才干	In doing we learn
东好西好还是家里最好	East or west, home is best
三个臭皮匠顶个诸葛亮	Two heads are better than one
行路有良伴就是捷径	Good company on the road is the shortest cut
祸不单行	Misfortunes never come alone
不经灾祸不知福	Misfortunes tell us what fortune is
迟做总比不做好晚来总比不来好	Better late than never
过而能改善莫大焉亡羊补牢犹未晚也	It's never too late to mend
如果事情值得做就值得做好	If a thing is worth doing it is worth doing well
无热情成就不了伟业	Nothing great was ever achieved without enthusiasm
行动比语言更响亮	Actions speak louder than words
伟大始于渺小	From small beginning come great things
一个今天胜似两个明天	One today is worth two tomorrows
事实从来不怕调查	Truth never fears investigation
舌无骨却能折断骨	The tongue is boneless but it breaks bones
通百艺而专一长	Knowing something of everything and everything of something
忠告是无价宝	Good advice is beyond all price
知足是人生在世最大的幸事	A contented mind is the greatest blessing a man can enjoy in this world
要想知道钱的价值就想办法去借钱试试	If you would know the value of money, go and try to borrow some
如果你希望成功当以恒心为良友以经验为参谋以谨慎为兄弟以希望为哨兵	If you wish to succeed, you should use persistence as your good friend , experience as your reference, prudence as your brother and hope as your sentry
健康当然比金钱更为重要因为我们所赖以获得金钱的就是健康	Health is certainly more valuable than money,because it is by health that money is procured
能处处寻求快乐的人才是最富有的人	That man is the richest whose pleasure are the cheapest
有时候一个人为不花钱得到的东西付出的代价最高	Sometimes one pays most for the things one gets for nothing
意志、工作和等待是成功的金字塔的基石	Will, work and wait are the pyramidal cornerstones for success
人世间所有的荣华富贵不如一个好朋友	All the splendor in the world is not worth a good friend
表露思想和展露身体之间存在极大的不同	There is a great different between exposure of the mind and that of the body
怀着希望去旅行比抵达目的地更愉快而真正的成功在于工作	To travel hopefully is a better thing than to arrive, and the true success is to labor
一个人越伟大对表扬和奉承就越反感	The greater a man is, the more distasteful is praise and flattery to him
可以说成功要靠三件事才能赢得：努力努力再努力	I might say that success is won by three things: first, effort; second, more effort; third, still more effort
成功常常取决于知道需要多久才能成功	Success often depends upon knowing how long it will take to succeed
只有有耐心圆满完成简单工作的人才能够轻而易举的完成困难的事	Only those who have the patience to do simple things perfectly ever acquire the skill to do difficult things easily
无论何事只要对它有无限的热情你就能取得成功	A man can succeed at almost anything for which he has unlimited enthusiasm
进步是今天的活动明天的保证	Progress is the activity of today and the assurance of tomorrow
奇迹有时候是会发生的但是你得为之拼命的努力	Miracles sometimes occur, but one has to work terribly for them
天上不会掉下玫瑰来如果想要更多的玫瑰必须自己种植	It never will rain roses. When we want to have more roses we must plant trees
如果你很有天赋勤勉会使其更加完善如果你能力一般勤勉会补足其缺陷	If you have great talents, industry will improve them; if you have but moderate abilities, industry will supply their deficiency
完成伟大的事业不在于体力而在于坚韧不拔的毅力	Great works are performed not by strength , but by perseverance
天才只意味着终身不懈的努力	Genius only means hard-working all one's life
事情很少又根本做不成的其所以做不成与其说是条件不够不如说是由于决心不够	Few things are impossible in themselves; and it is often for want of will , rather than of means, that man fails to succeed
